Latitude,Longitude
42.330726,-70.933504
42.334162,-70.934536
42.337145,-70.924147
42.32536,-70.920455
42.324734,-70.925889
42.31001,-70.953966
42.311195,-70.958449
42.312992,-70.955047
42.314339,-70.952103
42.310849,-70.950315
42.330579,-70.930809
42.332623,-70.932527
42.331872,-70.928551
42.325457,-70.924034
42.324923,-70.925644
42.310485,-70.954263
42.311015,-70.957802
42.311843,-70.954484
42.313396,-70.951435
42.311584,-70.951048
